postcode,Latitude,Longitude,Easting,Northing
SY3 8LX,52.710351,-2.773548,347836,312802
SY3 8NA,52.710454,-2.771389,347982,312812
SY3 8NE,52.711313,-2.767955,348215,312905
SY3 8NG,52.71142,-2.766699,348300,312916
SY3 8NL,52.710669,-2.766035,348344,312832
SY3 8NN,52.710296,-2.765362,348389,312790
SY3 8NQ,52.712281,-2.765545,348379,313011
SY3 8NR,52.711126,-2.764829,348426,312882
SY3 8NW,52.710681,-2.764096,348475,312832
SY3 8NX,52.711029,-2.763081,348544,312870
SY3 8NY,52.711032,-2.769668,348099,312875
SY3 8NZ,52.710325,-2.763542,348512,312792
SY3 8PA,52.713229,-2.778854,347481,313126
SY3 8PD,52.713887,-2.778526,347504,313199
SY3 8PG,52.71345,-2.775232,347726,313148
SY3 8PH,52.713208,-2.773762,347825,313120
SY3 8PJ,52.714305,-2.784676,347089,313250
SY3 8PL,52.712942,-2.771759,347960,313089
SY3 8PT,52.712536,-2.765016,348415,313039
SY3 8PX,52.712264,-2.761267,348668,313006
SY3 8PY,52.712205,-2.760614,348712,312999
SY3 8QA,52.712542,-2.759895,348761,313036
SY3 8QB,52.712513,-2.761582,348647,313034
SY3 8QE,52.712746,-2.760357,348730,313059
SY3 8QG,52.712978,-2.760657,348710,313085
SY3 8QH,52.713048,-2.759474,348790,313092
SY3 8QJ,52.712296,-2.759062,348817,313008
SY3 8QL,52.712249,-2.757921,348894,313002
SY3 8QN,52.713263,-2.758309,348869,313115
SY3 8QP,52.711825,-2.75815,348878,312955
SY3 8QX,52.712102,-2.757089,348950,312985
SY3 8QY,52.711494,-2.75927,348802,312919
SY3 8QZ,52.711808,-2.75667,348978,312952
SY3 8RD,52.711558,-2.75637,348998,312924
SY3 8RF,52.711961,-2.756613,348982,312969
SY3 8RG,52.712264,-2.756959,348959,313003
SY3 8RL,52.713908,-2.780865,347346,313203
SY3 8RN,52.705961,-2.771147,347993,312312
SY3 8RP,52.707506,-2.771308,347984,312484
SY3 8RS,52.708948,-2.772236,347923,312645
SY3 8RT,52.709931,-2.773053,347869,312755
SY3 8RW,52.706651,-2.77144,347974,312389
SY3 8RX,52.710003,-2.771692,347961,312762
SY3 8RY,52.709639,-2.769658,348098,312720
SY3 8RZ,52.709419,-2.77032,348053,312696
SY3 8SA,52.707077,-2.769494,348106,312435
SY3 8SB,52.707838,-2.768694,348161,312519
SY3 8SL,52.706963,-2.801699,345930,312446
SY3 8SN,52.707464,-2.802063,345906,312502
SY3 8SQ,52.707875,-2.769819,348085,312524
SY3 8SS,52.706359,-2.774958,347736,312359
SY3 8SU,52.706464,-2.77678,347613,312372
SY3 8SW,52.708068,-2.803214,345829,312570
SY3 8SX,52.707589,-2.779272,347446,312499
SY3 8SZ,52.706376,-2.7778,347544,312363
SY3 8TD,52.708597,-2.780489,347365,312612
SY3 8TE,52.710564,-2.784817,347075,312834
SY3 8TH,52.710585,-2.78162,347291,312834
SY3 8TJ,52.710822,-2.781135,347324,312860
SY3 8TN,52.710765,-2.776235,347655,312850
SY3 8TP,52.712555,-2.777333,347583,313050
SY3 8TQ,52.709488,-2.780312,347378,312711
SY3 8TR,52.712257,-2.776143,347663,313016
SY3 8TU,52.708102,-2.802164,345900,312573
SY3 8TW,52.711798,-2.777719,347556,312966
SY3 8UA,52.707497,-2.781046,347326,312490
SY3 8UB,52.707919,-2.781039,347327,312537
SY3 8UD,52.707663,-2.783092,347188,312510
SY3 8UF,52.708373,-2.781787,347277,312588
SY3 8UG,52.707167,-2.78332,347172,312455
SY3 8UH,52.707217,-2.786607,346950,312463
SY3 8UL,52.70775,-2.78481,347072,312521
SY3 8UQ,52.706733,-2.787797,346869,312410
SY3 8UR,52.708702,-2.786456,346962,312628
SY3 8UT,52.709317,-2.787251,346909,312697
SY3 8UU,52.708356,-2.789706,346742,312592
SY3 8UW,52.707809,-2.785507,347025,312528
SY3 8UX,52.709787,-2.788163,346848,312750
SY3 8UY,52.710258,-2.789015,346791,312803
SY3 8UZ,52.711042,-2.788733,346811,312890
SY3 8XA,52.711349,-2.788472,346829,312924
SY3 8XB,52.707851,-2.78869,346810,312535
SY3 8XJ,52.71067,-2.786521,346960,312847
SY3 8XN,52.711534,-2.786388,346970,312943
SY3 8XP,52.713161,-2.789112,346788,313126
SY3 8XS,52.712635,-2.789813,346740,313068
SY3 8XT,52.705514,-2.802042,345905,312285
SY3 8XW,52.712116,-2.788131,346853,313009
SY3 8YA,52.713029,-2.783232,347185,313107
SY3 8YB,52.713248,-2.785546,347029,313133
SY3 8YD,52.712633,-2.78475,347082,313064
SY3 8YF,52.712232,-2.782759,347216,313018
SY3 8YG,52.711732,-2.783564,347161,312963
SY3 8YJ,52.712828,-2.780949,347339,313083
SY3 8ZA,52.704685,-2.787523,346885,312182
SY3 8ZB,52.704598,-2.787063,346916,312172
SY3 8ZD,52.705184,-2.788124,346845,312238
SY3 8ZE,52.70504,-2.789557,346748,312223
SY3 8ZF,52.704624,-2.789934,346722,312177
SY3 8ZG,52.705137,-2.792504,346549,312236
SY3 8ZQ,52.703882,-2.786517,346952,312092
SY3 9AA,52.70185,-2.772954,347866,311856
SY3 9AB,52.703033,-2.774854,347739,311989
SY3 9AE,52.68984,-2.77289,347856,310520
SY3 9AF,52.70282,-2.779986,347392,311969
SY3 9AH,52.697754,-2.765512,348364,311395
SY3 9AN,52.698828,-2.769009,348129,311517
SY3 9AR,52.70089,-2.769874,348073,311747
SY3 9AS,52.70125,-2.771197,347984,311788
SY3 9AU,52.704582,-2.773076,347861,312160
SY3 9AZ,52.705045,-2.772359,347910,312211
SY3 9BA,52.705084,-2.774639,347756,312217
SY3 9BB,52.704656,-2.774188,347786,312169
SY3 9BE,52.704026,-2.777062,347591,312101
SY3 9BF,52.699825,-2.778778,347470,311635
SY3 9BS,52.702386,-2.784418,347092,311924
SY3 9BT,52.701802,-2.784349,347096,311859
SY3 9BW,52.703166,-2.783337,347166,312010
SY3 9BX,52.699724,-2.784504,347083,311628
SY3 9BY,52.701362,-2.780123,347381,311807
SY3 9BZ,52.702338,-2.782094,347249,311917
SY3 9DA,52.697925,-2.76812,348188,311416
SY3 9DB,52.698377,-2.770525,348026,311468
SY3 9DE,52.698905,-2.772295,347907,311528
SY3 9DF,52.696129,-2.770707,348011,311218
SY3 9DG,52.696006,-2.770232,348043,311204
SY3 9DH,52.694122,-2.770983,347990,310995
SY3 9DL,52.693372,-2.770141,348046,310911
SY3 9DQ,52.694648,-2.774455,347756,311056
SY3 9DT,52.70114,-2.779749,347406,311782
SY3 9DY,52.700597,-2.778999,347456,311721
SY3 9ED,52.696799,-2.767212,348248,311290
SY3 9EF,52.694803,-2.767133,348251,311068
SY3 9EG,52.693979,-2.766719,348278,310976
SY3 9EJ,52.695619,-2.764794,348410,311157
SY3 9EN,52.690475,-2.770534,348016,310589
SY3 9EP,52.693528,-2.759919,348737,310921
SY3 9ER,52.693169,-2.759884,348739,310881
SY3 9ES,52.692438,-2.76172,348614,310801
SY3 9ET,52.692324,-2.76123,348647,310788
SY3 9EU,52.692538,-2.762847,348538,310813
SY3 9EW,52.687538,-2.774284,347759,310265
SY3 9EZ,52.69139,-2.762531,348558,310685
SY3 9FA,52.699545,-2.787194,346901,311610
SY3 9FB,52.699659,-2.78761,346873,311623
